#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 01 30 999 99.0 99.0  0.69 10.00  6.01 251 9999.0   9.8  11.9 999.0 99.0 99.00
2022 01 02 02 00 999 99.0 99.0  0.72 14.29  6.71 228 9999.0   9.7  11.9 999.0 99.0 99.00
2022 01 02 02 30 999 99.0 99.0  0.70 15.38  6.68 212 9999.0   8.5  11.8 999.0 99.0 99.00
2022 01 02 03 00 999 99.0 99.0  0.74 13.33  7.32 236 9999.0   8.0  11.8 999.0 99.0 99.00
2022 01 02 03 30 999 99.0 99.0  0.67 13.33  7.03 237 9999.0   7.9  11.7 999.0 99.0 99.00
2022 01 02 04 00 999 99.0 99.0  0.70 14.29  6.93 230 9999.0   7.5  11.7 999.0 99.0 99.00
2022 01 02 04 30 999 99.0 99.0  0.73 14.29  7.01 231 9999.0   7.0  11.8 999.0 99.0 99.00
2022 01 02 05 00 999 99.0 99.0  0.74 14.29  6.99 234 9999.0   6.8  11.8 999.0 99.0 99.00
2022 01 02 05 30 999 99.0 99.0  0.73 14.29  6.83 226 9999.0   6.7  11.8 999.0 99.0 99.00
2022 01 02 06 00 999 99.0 99.0  0.71 14.29  6.77 236 9999.0   6.5  11.8 999.0 99.0 99.00
2022 01 02 06 30 999 99.0 99.0  0.70 13.33  6.50 239 9999.0   6.0  11.8 999.0 99.0 99.00
2022 01 02 07 00 999 99.0 99.0  0.72 13.33  6.80 237 9999.0   6.2  11.9 999.0 99.0 99.00
2022 01 02 07 30 999 99.0 99.0  0.72 13.33  7.26 236 9999.0   6.1  11.9 999.0 99.0 99.00
2022 01 02 08 00 999 99.0 99.0  0.71 14.29  7.71 233 9999.0   6.0  11.9 999.0 99.0 99.00
2022 01 02 08 30 999 99.0 99.0  0.68 14.29  7.15 235 9999.0   5.7  12.0 999.0 99.0 99.00
2022 01 02 09 00 999 99.0 99.0  0.73 13.33  7.23 241 9999.0   5.5  12.1 999.0 99.0 99.00
2022 01 02 09 30 999 99.0 99.0  0.63 13.33  6.18 241 9999.0   4.9  12.1 999.0 99.0 99.00
2022 01 02 10 00 999 99.0 99.0  0.67 13.33  6.60 237 9999.0   5.1  11.7 999.0 99.0 99.00
2022 01 02 10 30 999 99.0 99.0  0.67 13.33  6.25 232 9999.0   5.6  11.7 999.0 99.0 99.00
