Date,Index
1928-12-19,22.98
1928-12-20,23.07
1928-12-21,23.33
1928-12-24,23.540001
1928-12-26,23.440001
1928-12-27,23.639999
1928-12-28,23.98
1928-12-31,24.35
1929-1-2,24.809999
1929-1-3,24.860001
1929-1-4,24.85
1929-1-7,24.25
1929-1-8,24.17
1929-1-9,24.540001
1929-1-10,24.58
1929-1-11,24.540001
1929-1-14,24.59
1929-1-15,24.23
1929-1-16,24.559999
1929-1-17,24.690001
1929-1-18,24.77
1929-1-21,24.860001
1929-1-22,25.07
1929-1-23,25.219999
1929-1-24,25.059999
1929-1-25,25.48
1929-1-28,25.35
1929-1-29,25.360001
1929-1-30,25.450001
1929-1-31,25.74
1929-2-1,25.84
1929-2-4,25.639999
1929-2-5,25.700001
1929-2-6,25.49
1929-2-7,24.709999
1929-2-8,24.440001
1929-2-11,24.98
1929-2-13,24.950001
1929-2-14,24.85
1929-2-15,24.35
1929-2-18,24.389999
1929-2-19,24.379999
1929-2-20,24.59
1929-2-21,24.860001
1929-2-25,24.91
1929-2-26,24.950001
1929-2-27,25.25
1929-2-28,25.59
1929-3-1,25.83
1929-3-4,25.49
1929-3-5,25.32
1929-3-6,24.92
1929-3-7,25.15
1929-3-8,25.309999
1929-3-11,24.950001
1929-3-12,24.969999
1929-3-13,25.24
1929-3-14,25.73
1929-3-15,26.08
1929-3-18,26.040001
1929-3-19,26.030001
1929-3-20,26.02
1929-3-21,25.9
1929-3-22,25.549999
1929-3-25,24.51
1929-3-26,24.35
1929-3-27,25.09
1929-3-28,25.530001
1929-4-1,24.879999
1929-4-2,25.17
1929-4-3,24.860001
1929-4-4,25.299999
1929-4-5,25.049999
1929-4-8,24.83
1929-4-9,24.629999
1929-4-10,24.780001
1929-4-11,25.059999
1929-4-12,25.15
1929-4-15,25.15
1929-4-16,25.059999
1929-4-17,25.32
1929-4-18,25.43
1929-4-19,25.41
1929-4-22,25.700001
1929-4-23,25.85
1929-4-24,25.75
1929-4-25,25.629999
1929-4-26,25.58
1929-4-29,25.530001
1929-4-30,25.940001
1929-5-1,25.99
1929-5-2,26.110001
1929-5-3,26.370001
1929-5-6,26.32
1929-5-7,26.07
1929-5-8,26.18
1929-5-9,26.02
1929-5-10,26.34
1929-5-13,25.639999
1929-5-14,25.950001
1929-5-15,25.84
1929-5-16,25.969999
1929-5-17,26.09
1929-5-20,25.389999
1929-5-21,25.700001
1929-5-22,24.76
1929-5-23,25.309999
1929-5-24,25.120001
1929-5-27,24.200001
1929-5-28,24.59
1929-5-29,24.620001
1929-5-31,24.83
1929-6-3,25.27
1929-6-4,25.639999
1929-6-5,25.59
1929-6-6,25.639999
1929-6-7,25.530001
1929-6-10,25.27
1929-6-11,25.43
1929-6-12,25.450001
1929-6-13,25.84
1929-6-14,25.93
1929-6-17,26.41
