Decimal_Year,Index
2012.295081967213,1385.14
2012.2978142076502,1376.92
2012.3005464480875,1378.53
2012.308743169399,1366.94
2012.311475409836,1371.97
2012.3142076502731,1390.69
2012.3169398907103,1399.98
2012.3196721311476,1403.36
2012.327868852459,1397.91
2012.3306010928961,1405.82
2012.3333333333333,1402.31
2012.3360655737704,1391.57
2012.3387978142077,1369.1
2012.3469945355191,1369.58
2012.3497267759562,1363.72
2012.3524590163934,1354.58
2012.3551912568305,1357.99
2012.3579234972678,1353.39
2012.3661202185792,1338.35
2012.3688524590164,1330.66
2012.3715846994535,1324.8
2012.3743169398906,1304.86
2012.377049180328,1295.22
2012.3852459016393,1315.99
2012.3879781420765,1316.63
2012.3907103825136,1318.86
2012.3934426229507,1320.68
2012.396174863388,1317.82
2012.4071038251366,1332.42
2012.4098360655737,1313.32
2012.4125683060108,1310.33
2012.4153005464482,1278.04
2012.4234972677596,1278.18
2012.4262295081967,1285.5
2012.4289617486338,1315.13
2012.431693989071,1314.99
2012.4344262295083,1325.66
2012.4426229508197,1308.93
2012.4453551912568,1324.18
2012.448087431694,1314.88
2012.450819672131,1329.1
2012.4535519125684,1342.84
2012.4617486338798,1344.78
2012.464480874317,1357.98
2012.467213114754,1355.69
2012.4699453551912,1325.51
2012.4726775956285,1335.02
2012.48087431694,1313.72
2012.483606557377,1319.99
2012.4863387978141,1331.85
2012.4890710382513,1329.04
2012.4918032786886,1362.16
2012.5,1365.51
2012.5027322404371,1374.02
2012.5081967213114,1367.58
2012.5109289617487,1354.68
2012.51912568306,1352.46
2012.5218579234972,1341.47
2012.5245901639344,1341.45
2012.5273224043715,1334.76
2012.5300546448088,1356.78
2012.5382513661202,1353.64
2012.5409836065573,1363.67
2012.5437158469945,1372.78
2012.5464480874316,1376.51
2012.549180327869,1362.66
2012.5573770491803,1350.52
2012.5601092896175,1338.31
2012.5628415300546,1337.89
2012.5655737704917,1360.02
2012.568306010929,1385.97
2012.5765027322404,1385.3
2012.5792349726776,1379.32
2012.5819672131147,1375.32
2012.5846994535518,1365.0
2012.5874316939892,1390.99
2012.5956284153006,1394.23
2012.5983606557377,1401.35
2012.6010928961748,1402.22
2012.603825136612,1402.8
2012.6065573770493,1405.87
2012.6147540983607,1404.11
2012.6174863387978,1403.93
2012.620218579235,1405.53
2012.622950819672,1415.51
2012.6256830601094,1418.16
2012.6338797814208,1418.13
2012.636612021858,1413.17
2012.639344262295,1413.49
2012.6420765027322,1402.08
2012.6448087431695,1411.13
2012.6530054644809,1410.44
2012.655737704918,1409.3
2012.6584699453551,1410.49
2012.6612021857923,1399.48
2012.6639344262296,1406.58
2012.6748633879781,1404.94
2012.6775956284152,1403.44
2012.6803278688524,1432.12
2012.6830601092897,1437.92
2012.691256830601,1429.08
2012.6939890710382,1433.56
2012.6967213114754,1436.56
2012.6994535519125,1459.99
2012.7021857923498,1465.77
2012.7103825136612,1461.19
2012.7131147540983,1459.32
2012.7158469945355,1461.05
2012.7185792349726,1460.26
2012.72131147541,1460.15
2012.7295081967213,1456.89
2012.7322404371585,1441.59
2012.7349726775956,1433.32
2012.7377049180327,1447.15
2012.74043715847,1440.67
2012.7486338797814,1444.49
2012.7513661202186,1445.75
2012.7540983606557,1450.99
2012.7568306010928,1461.4
2012.75956284153,1460.93
2012.7677595628415,1455.88
2012.7704918032787,1441.48
2012.7732240437158,1432.56
2012.775956284153,1432.84
2012.77868852459,1428.59
2012.7868852459017,1440.13
2012.7896174863388,1454.92
2012.792349726776,1460.91
2012.795081967213,1457.34
2012.7978142076502,1433.19
2012.8060109289618,1433.82
2012.808743169399,1413.11
2012.811475409836,1408.75
2012.8142076502731,1412.97
2012.8169398907103,1411.94
2012.8251366120219,1411.94
2012.827868852459,1411.94
2012.8306010928961,1412.16
2012.8333333333333,1427.59
2012.8360655737704,1414.2
2012.844262295082,1417.26
2012.8469945355191,1428.39
2012.8497267759562,1394.53
2012.8524590163934,1377.51
